Dept,ClassNum,SectionNum,Units,StartTime,EndTime,Days,SeatsTaken,SeatsTotal,Professor,ClassCode,ClassMode,Desc,Rating
COMM,165P,1,4.0,0900,1015.0,TR,28,25,B Von Till,28423,In Person,Comm&Philanthropy,3.5
SCI,101,8,0.0,1800,1950.0,T,0,30,M McNeil,30031,In Person,Leadership,3.0
SCWK,263,2,3.0,1800,2045.0,T,31,30,J Hubbs,23656,In Person,SW and Law,4.8
HS,158,2,0.0,1100,1150.0,W,41,38,A Murray,25624,In Person,Hlth Comm,2.49
ENVS,210,3,3.0,1330,1445.0,MW,6,5,L Trulio,24308,In Person,Environ Topics,4.2
CHEM,055L,1,2.0,1030,1320.0,MW,24,23,E Campo Sahagun,21912,In Person,Quantitative Analysis Lab,2.49
CMPE,140,4,0.0,1130,1420.0,T,24,28,N Wong,24646,In Person,Comp Arch & Design,2.49
INFO,203,1,1.0,TBA,,TBA,38,35,D Faires,22505,Online Only - TBA Mtg Pat,Online Learning,2.49
ENGL,001A,8,3.0,0900,1015.0,TR,23,23,M Westervelt,22437,In Person,First Year Writing,
BUS4,091L,8,1.0,1500,1615.0,T,44,38,M Splane,25222,In Person,Comp Tools for Bus,4.8
PHYS,052,17,0.0,1630,1920.0,M,18,16,D Olson,30159,In Person,General Physics,2.49
BIOL,255M,4,1.0,TBA,,TBA,7,15,N Manley,24868,In Person,Adv Top Mol & Micr,2.49
KIN,158,6,0.0,1400,1550.0,T,18,20,L Jin,22672,In Person,Biomechanics,5.0
KIN,025B,1,1.0,1030,1220.0,T,23,25,D Allio,26693,In Person,Intermediate Golf,2.49
BUS1,170,81,3.0,TBA,,TBA,46,45,X Xu,27233,Online Only - TBA Mtg Pat,Fund of Finance,4.0
JPN,001A,4,4.0,0900,1010.0,MWF,30,30,K Hollin,23841,In Person,Elem Japanese,2.49
ATH,012S,7,1.0,TBA,,TBA,0,20,B Brennan,20046,In Person,Skl Dvlp Football,1.5
NUFS,104A,2,0.0,1345,1530.0,W,20,20,J Kubota,20220,In Person,Cultural Food,4.0
AMS,001B,23,6.0,1030,1145.0,MW,14,32,S Moultry,27804,In Person,Am Cults 1877-pres,
KIN,157,1,3.0,1230,1320.0,T,72,60,P Plato,28575,In Person,Physiological Assessment,4.8
ENVS,152,81,3.0,TBA,,TBA,23,25,B Olszewski,27829,Online Only - TBA Mtg Pat,Global Environment,2.5
KIN,069,5,3.0,1030,1145.0,TR,30,30,K Moreno,22207,In Person,Stress Management,3.3
CMPE,265,2,3.0,1830,2115.0,R,6,30,B Yu,30254,In Person,Hi Speed Dig Des,2.49
CHAD,151,2,3.0,0900,1015.0,TR,33,30,T O'Donnell-Johnson,22892,In Person,Dev Literacy in Div Soc,
CMPE,142,2,3.0,1200,1315.0,MW,54,50,Y Cui,27484,In Person,Operating Systems,2.49
BUS,250,1,3.0,1800,2200.0,T,34,35,S Malos,20096,In Person,Law & Ethics,3.0
POLS,100W,1,3.0,1200,1315.0,TR,28,25,K Yeager,23782,In Person,Writing Workshop,2.49
KIN,031,4,1.0,1330,1420.0,TR,52,50,A Batt,28469,In Person,Body Sculpting,4.6
NURS,295A,52,3.0,2030,2320.0,W,10,20,R Whitney,25120,In Person,Research Methods,2.49
GEOG,180,2,4.0,TBA,,TBA,0,1,,20760,In Person,Indiv Studies,2.49
NURS,144,1,2.0,0900,1040.0,W,24,40,D Nelson,21746,In Person,Clin Nurs Appl,4.3
CCS,160,80,3.0,TBA,,TBA,38,35,R Alvarez,28071,Online Only - TBA Mtg Pat,Gender and Sexuality,4.7
SOCI,181,21,2.0,TBA,,TBA,1,2,R Buyco,20555,In Person,Service Internship,4.6
CS,046B,16,0.0,1400,1645.0,F,29,30,W Lee,24968,In Person,Intro to Data Strc,
NURS,146B,15,2.0,0700,1300.0,F,9,10,S Lim,21339,In Person,Mat Hlth Clinical,2.49
BUS,220X,1,3.0,1800,2200.0,W,2,30,F Jones,20350,In Person,Bus Anal & Val Fin,4.0
UNVS,095B,11,2.0,1630,1720.0,M,18,25,M Randle,30164,In Person,FYE Academic Success,2.2
BUS,251,4,3.0,1800,2200.0,W,19,40,S Malos,27392,In Person,Strat Hum Cap Prfm,3.0
BUS1,021,3,3.0,1330,1445.0,MW,46,45,D Belger,24808,In Person,Managerial Acctg,3.9
HS,100W,82,3.0,TBA,,TBA,13,25,C Jones,30486,Online Only - TBA Mtg Pat,Writing Workshop,4.0
HUM,168B,3,3.0,1030,1145.0,TR,1,40,P Brown,29270,In Person,Global Climate Change II,
KIN,019A,2,1.0,0930,1120.0,W,31,30,M Behler,20985,In Person,Begin Soccer,4.2
MCOM,163,2,3.0,1800,2045.0,R,12,20,T Korani,30452,In Person,Adv Media tech,5.0
ENVS,168B,2,3.0,1030,1145.0,TR,16,40,C Rampini,29275,In Person,Global Climate Change II,3.0
AE,280,1,3.0,1630,1745.0,TR,9,40,F Vergine,28060,In Person,Hypersonics,3.4
HSPM,130,80,3.0,TBA,,TBA,40,40,J Gao,25958,Online Only - TBA Mtg Pat,Hospitality Event,2.5
CHE,163L,6,0.0,0900,1145.0,F,12,12,A Chetty,27520,In Person,UG ChE Lab II,2.49
KIN,106,1,3.0,1800,2030.0,T,16,25,F Barry,22659,In Person,Adv Scuba & Aquc Tec,4.2
BUS3,012,66,3.0,0900,1015.0,MW,43,45,L Yang,23388,In Person,Managing My Life,1.0
CE,298,2,3.0,TBA,,TBA,1,40,K McMullin,20583,In Person,Special Problems,3.3
NUFS,139,8,3.0,0900,1145.0,F,16,30,A Gossard,23703,In Person,Hunger & Environ Nutr,5.0
MATH,018A,6,3.0,1630,1745.0,MW,28,32,R Cho,22661,In Person,College Algebra,2.49
CMPE,133,2,3.0,1800,2045.0,T,49,50,Y Edalat,28597,In Person,Soft Eng II,2.49
ANTH,140,4,3.0,1630,1745.0,MW,22,60,J McDaniel,29073,In Person,Human Sexuality,3.0
SOCI,170,2,3.0,1230,1515.0,F,15,35,S Nava,29905,In Person,Soci of Family,4.3
CMPE,130,2,3.0,1330,1445.0,TR,23,50,M Agumbe Suresh,27474,In Person,Adv Alg Des,
BME,174,1,3.0,1630,1745.0,MW,62,80,P Coronado,28333,In Person,Biomed Regs,2.49
PSYC,186,1,1.0,TBA,,TBA,0,3,,27452,In Person,Psych Field Wk,2.49
EDCO,298,4,3.0,TBA,,TBA,12,12,M Beach,20485,In Person,Spec Stud Couns Ed,2.49
BUS1,020N,1,3.0,1330,1445.0,TR,51,45,T Robinson,24494,In Person,Survey of Acctg,4.5
CHAD,173,2,3.0,1030,1145.0,TR,29,25,J Fraser,22944,In Person,Cr Iss Inf/Tod Dev,5.0
KIN,002B,2,1.0,0730,820.0,TR,21,25,C May,26097,In Person,Inter Swimming,4.5
